"Var.1","Name","Time","Year","Var.5","Race","Beer","beer_url","name_url","event_url","event_name","event_location","event_date","minute","seconds","total_time_in_secs"
38,"Jim Finlayson","5:01.24",2015,NA,"Victoria, BC, CanadaJim Finlayson Beermile Ra...","Amsterdam Blonde","https://www.beermile.com/records/ref_beer/beertype_Amsterdam+Blonde","https://www.beermile.com/query_indy/submit_1/ref_query/name_Jim+Finlayson","https://www.beermile.com/display/event_6534","Jim Finlayson Beermile Raw","Victoria, BC, Canada","September 26, 2015",5,1.24,301.24
39,"Corey Gallagher","5:01.57",2014,NA,"Winnipeg, MB2014 Manitoba Summer Beer...","Budweiser","https://www.beermile.com/records/ref_beer/beertype_Budweiser","https://www.beermile.com/query_indy/submit_1/ref_query/name_Corey+Gallagher","https://www.beermile.com/display/event_6091","2014 Manitoba Summer Beermile","Winnipeg, MB","August 23, 2014",5,1.57,301.57
40,"Josh ""Joshua"" Harris","5:01.8",2015,NA,"Launceston, AustraliaSeason Opener","Coopers 62","https://www.beermile.com/records/ref_beer/beertype_Coopers+62","https://www.beermile.com/query_indy/submit_1/ref_query/name_Josh+""Joshua""+Harris","https://www.beermile.com/display/event_6304","Season Opener","Launceston, Australia","April 11, 2015",5,1.8,301.8
41,"Chris Robertson","5:02",2016,NA,"Chicago, IL, United State...Time Trial - 6/25/2016","Bud Light Platinum","https://www.beermile.com/records/ref_beer/beertype_Bud+Light+Platinum","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Robertson","https://www.beermile.com/display/event_150269","Time Trial - 6/25/2016","Chicago, IL, United States","June 25, 2016",5,2,302
42,"Markus Liwing","5:02",2020,NA,"Falun, Sweden@Swedenbeermile beer mile","Boca negra Pilsner","https://www.beermile.com/records/ref_beer/beertype_Boca+negra+Pilsner","https://www.beermile.com/query_indy/submit_1/ref_query/name_Markus+Liwing","https://www.beermile.com/display/event_151596","@Swedenbeermile beer mile","Falun, Sweden","May 2, 2020",5,2,302
43,"Brandon Shirck","5:02",2018,NA,"Vancouver, BC, CanadaBeer Mile World Classic 2...","Budweiser Platinum","https://www.beermile.com/records/ref_beer/beertype_Budweiser+Platinum","https://www.beermile.com/query_indy/submit_1/ref_query/name_Brandon+Shirck","https://www.beermile.com/display/event_151287","Beer Mile World Classic 2018","Vancouver, BC, Canada","August 11, 2018",5,2,302
44,"Josh Harris","5:02.5",2012,NA,"Melbourne, Australia2012 Autumn Classic Beer ...","Maxx Dry","https://www.beermile.com/records/ref_beer/beertype_Maxx+Dry","https://www.beermile.com/query_indy/submit_1/ref_query/name_Josh+Harris","https://www.beermile.com/display/event_5571","2012 Autumn Classic Beer Mile","Melbourne, Australia","April 21, 2012",5,2.5,302.5
45,"Phil Parrot-Migas","5:02.5",2018,NA,"Vancouver, BC, CanadaBeer Mile World Classic 2...","Sleeman","https://www.beermile.com/records/ref_beer/beertype_Sleeman","https://www.beermile.com/query_indy/submit_1/ref_query/name_Phil+Parrot-Migas","https://www.beermile.com/display/event_151287","Beer Mile World Classic 2018","Vancouver, BC, Canada","August 11, 2018",5,2.5,302.5
46,"Chris Robertson","5:02.6",2016,NA,"Austin, TX, United States2016 FloTrack Beer Mile W...","Bud Light Platinum","https://www.beermile.com/records/ref_beer/beertype_Bud+Light+Platinum","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Robertson","https://www.beermile.com/display/event_150438","2016 FloTrack Beer Mile World Championships","Austin, TX, United States","December 17, 2016",5,2.6,302.6
47,"Josh ""Harry"" Harris","5:02.62",2017,NA,"Clifton Hill, Victoria, A...Brooks International Beer...","Molson Canadian","https://www.beermile.com/records/ref_beer/beertype_Molson+Canadian","https://www.beermile.com/query_indy/submit_1/ref_query/name_Josh+""Harry""+Harris","https://www.beermile.com/display/event_150441","Brooks International Beer Mile ","Clifton Hill, Victoria, Australia","May 13, 2017",5,2.62,302.62
48,"Garrett Cullen","5:02.88",2017,NA,"Allianz Park, London Engl...Beer Mile World Classic: ...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Garrett+Cullen","https://www.beermile.com/display/event_151096","Beer Mile World Classic: 2017 Men","Allianz Park, London England","August 12, 2017",5,2.88,302.88
49,"Garrett "".5"" Cullen","5:03.4",2019,NA,"Berlin Germany2019 Beer Mile World Clas...","Budweiser","https://www.beermile.com/records/ref_beer/beertype_Budweiser","https://www.beermile.com/query_indy/submit_1/ref_query/name_Garrett+"".5""+Cullen","https://www.beermile.com/display/event_151463","2019 Beer Mile World Classic","Berlin Germany","August 3, 2019",5,3.4,303.4
50,"Philippe Parrot-Migas","5:03.6",2016,NA,"Austin, TX, United States2016 FloTrack Beer Mile W...","Bud Light Platinum","https://www.beermile.com/records/ref_beer/beertype_Bud+Light+Platinum","https://www.beermile.com/query_indy/submit_1/ref_query/name_Philippe+Parrot-Migas","https://www.beermile.com/display/event_150438","2016 FloTrack Beer Mile World Championships","Austin, TX, United States","December 17, 2016",5,3.6,303.6
51,"Josh ""Harry"" Harris","5:04.9",2013,NA,"Rawlinson Track, Melbourn...2013 Autumn Classic","Coopers 62,5.0%, 355ml","https://www.beermile.com/records/ref_beer/beertype_Coopers+62,5.0%,+355ml","https://www.beermile.com/query_indy/submit_1/ref_query/name_Josh+""Harry""+Harris","https://www.beermile.com/display/event_5794","2013 Autumn Classic","Rawlinson Track, Melbourne University","April 27, 2013",5,4.9,304.9
52,"Andrew Benkovsky","5:05",2020,NA,"San Francisco, cA2020 Beer Mile World Clas...","Budweiser","https://www.beermile.com/records/ref_beer/beertype_Budweiser","https://www.beermile.com/query_indy/submit_1/ref_query/name_Andrew+Benkovsky","https://www.beermile.com/display/event_151627","2020 Beer Mile World Classic (Men's)","San Francisco, cA","July 4, 2020",5,5,305
53,"Garret Cullen","5:05.1",2018,NA,"Kezar StadiumUSA Beer Mile Team Tune-U...","Budweiser","https://www.beermile.com/records/ref_beer/beertype_Budweiser","https://www.beermile.com/query_indy/submit_1/ref_query/name_Garret+Cullen","https://www.beermile.com/display/event_151281","USA Beer Mile Team Tune-Up","Kezar Stadium","August 4, 2018",5,5.1,305.1
